Date,,,VXX,TQQQ,VXX,TQQQ,Capital,,,VXX,0.94,0.3,уменьшена эффективность на 1.5
1/3/2007,,,10000,10000,,,1000000,,,TQQQ,1.04,0.7,"без SMA, поэтому 2008 и 2009 из TQQQ выкинуты"
1/4/2007,0.00%,0.00%,10000,9998.264984,0.00%,-0.02%,999913,,,,,,
1/5/2007,-0.69%,-0.46%,9954.084614,9944.424351,-0.46%,-0.54%,994925,,,,,,
1/8/2007,-0.01%,0.00%,9953.7171,9942.707642,0.00%,-0.02%,994821,,,,,,
1/9/2007,1.58%,1.06%,10058.86228,10076.89987,1.06%,1.35%,1006789,,,,,,
1/10/2007,-0.46%,-0.30%,10028.25122,10326.55982,-0.30%,2.48%,1017729,,,,,,
1/11/2007,-0.01%,0.00%,10027.88505,10738.49874,0.00%,3.99%,1038009,,,,,,
1/12/2007,6.71%,4.47%,10476.2272,10931.98521,4.47%,1.80%,1070565,,,,,,
1/16/2007,0.29%,0.19%,10496.23632,10994.4002,0.19%,0.57%,1074644,,,,,,
1/17/2007,1.76%,1.17%,10619.39808,10750.98174,1.17%,-2.21%,1069052,,,,,,
1/18/2007,-0.47%,-0.32%,10585.92169,10171.92531,-0.32%,-5.39%,1038577,,,,,,
1/19/2007,-0.01%,0.00%,10585.56503,10170.20444,0.00%,-0.02%,1038472,,,,,,
1/22/2007,0.54%,0.36%,10623.69386,9904.607779,0.36%,-2.61%,1026782,,,,,,
1/23/2007,-0.01%,0.00%,10623.33783,9902.873448,0.00%,-0.02%,1026675,,,,,,
1/24/2007,4.59%,3.06%,10948.63123,10312.73449,3.06%,4.14%,1063640,,,,,,
1/25/2007,-0.98%,-0.65%,10877.3793,10061.77201,-0.65%,-2.43%,1047237,,,,,,
1/26/2007,-1.05%,-0.70%,10801.4519,9959.147673,-0.70%,-1.02%,1038241,,,,,,
1/29/2007,0.00%,0.00%,10801.4519,9957.403237,0.00%,-0.02%,1038150,,,,,,
1/30/2007,0.00%,0.00%,10801.4519,10017.65504,0.00%,0.61%,1041291,,,,,,
1/31/2007,0.00%,0.00%,10801.4519,10214.26619,0.00%,1.96%,1051510,,,,,,
2/1/2007,0.00%,0.00%,10801.09868,10341.11209,0.00%,1.24%,1058022,,,,,,
2/2/2007,0.26%,0.17%,10819.69273,10385.50815,0.17%,0.43%,1061203,,,,,,
2/5/2007,0.00%,0.00%,10819.33981,10369.65242,0.00%,-0.15%,1060376,,,,,,
2/6/2007,-0.49%,-0.32%,10784.18259,10258.69255,-0.32%,-1.07%,1052980,,,,,,
2/7/2007,0.00%,0.00%,10783.82909,10257.00122,0.00%,-0.02%,1052876,,,,,,
2/8/2007,-0.75%,-0.50%,10729.59109,10278.5237,-0.50%,0.21%,1051333,,,,,,
2/9/2007,0.10%,0.07%,10737.08286,9968.106687,0.07%,-3.02%,1035824,,,,,,
2/12/2007,-0.66%,-0.44%,10689.63629,9966.389125,-0.44%,-0.02%,1033447,,,,,,
2/13/2007,0.00%,0.00%,10689.63629,10019.46826,0.00%,0.53%,1036199,,,,,,
2/14/2007,0.00%,0.00%,10689.28122,10459.7129,0.00%,4.39%,1058946,,,,,,
2/15/2007,1.90%,1.27%,10824.58399,10731.3532,1.27%,2.60%,1079398,,,,,,
2/16/2007,0.88%,0.59%,10888.36092,10665.78485,0.59%,-0.61%,1079281,,,,,,
2/20/2007,0.04%,0.03%,10891.10537,10834.38918,0.03%,1.58%,1087947,,,,,,
