Date,Capital
2007-01-03,10000.0
2007-01-04,9998.26498422713
2007-01-05,9944.424350923982
2007-01-08,9942.707642388827
2007-01-09,10076.899867317488
2007-01-10,10326.559820673141
2007-01-11,10738.498743709964
2007-01-12,10931.985207560596
2007-01-16,10994.400195899507
2007-01-17,10750.98174137775
2007-01-18,10171.92531305006
2007-01-19,10170.204439804234
2007-01-22,9904.607778725749
2007-01-23,9902.873447532404
2007-01-24,10312.734494389842
2007-01-25,10061.772014616481
2007-01-26,9959.147673270822
2007-01-29,9957.40323657646
2007-01-30,10017.65503960033
2007-01-31,10214.266186309802
2007-02-01,10341.112087412686
2007-02-02,10385.508152798697
2007-02-05,10369.652415160837
2007-02-06,10258.692546510712
2007-02-07,10257.001215305503
2007-02-08,10278.523699869995
2007-02-09,9968.106686802903
2007-02-12,9966.389124560503
2007-02-13,10019.468264634917
2007-02-14,10459.712897016818
2007-02-15,10731.353202103523
2007-02-16,10665.784852599834
2007-02-20,10834.389179895034
2007-02-21,10974.892785974362
2007-02-22,11202.82085805861
2007-02-23,11050.388684861631
2007-02-26,10960.828957613745
2007-02-27,10866.025172207872
2007-02-28,10866.025172207872
2007-03-01,10866.025172207872
2007-03-02,10864.01700223317
2007-03-05,10529.80938763373
2007-03-06,10529.80938763373
2007-03-07,10529.80938763373
2007-03-08,10527.929674825162
2007-03-09,10419.778500701217
2007-03-12,10419.778500701217
2007-03-13,10281.88196716518
2007-03-14,10281.88196716518
2007-03-15,10281.88196716518
2007-03-16,10280.033312349246
2007-03-19,10536.949798118761
2007-03-20,10536.949798118761
2007-03-21,10535.22909669686
2007-03-22,10647.83843383495
2007-03-23,10535.22909669686
2007-03-26,10500.475301253591
2007-03-27,10498.749281703176
2007-03-28,10172.428323754242
2007-03-29,10112.716548446215
2007-03-30,10110.992433721589
2007-04-02,10164.274166943309
2007-04-03,10493.367225077458
2007-04-04,10675.151961951562
2007-04-05,10813.057624407777
2007-04-09,10772.875566288478
2007-04-10,10771.173934593631
2007-04-11,10508.234783645532
2007-04-12,10506.556151890956
2007-04-13,10653.031520839768
2007-04-16,10927.672837618797
2007-04-17,11058.890355635442
