Ratio,Stop,CAGR,StDev,DrawDown,Sharpe,MaR,SM
0.945,0.5,110.04623334822847,0.32653454470497506,-20.581157829334973,337.01253093345935,5.346940840780887,1801.9860655030457
0.95,0.5,110.9071504410287,0.3349994177073139,-20.581157829334973,331.0666961753567,5.38877119356955,1784.0426755000044
0.955,0.5,110.72396148764562,0.3397307004654824,-20.581157829334916,325.9168551324242,5.3798703846402445,1753.3904367820137
0.94,0.5,109.41538880129973,0.3183771865653893,-22.573840565910185,343.66592023020985,4.846999272535531,1665.748465351081
0.95,0.6,119.39003939378416,0.35013771918943903,-24.759562228517794,340.98022820897285,4.821976991833564,1644.198815093825
0.97,0.5,108.86458577806638,0.35550659910277843,-20.581157829334984,306.22381146458883,5.289526793429387,1619.7790555280117
0.955,0.6,119.26029662665702,0.35497192089974255,-24.75956222851774,335.97107152692405,4.816736884357938,1618.284252300994
0.945,0.6,116.67103363016733,0.34204102626582183,-24.759562228517773,341.102454591207,4.712160600957112,1607.3295474144481
0.96,0.5,106.89294531203761,0.34578397665672633,-20.581157829334973,309.1321533911172,5.193728467485912,1605.548465282667
0.945,1.4,111.97703533819401,0.35051686628631135,-22.816423239459926,319.46261680523025,4.907738349827549,1567.8389358312916
0.96,0.6,116.05624261115528,0.36120103727835257,-24.759562228517794,321.3065042272257,4.687330153094669,1506.0696656497146
0.95,0.7,118.44807929522557,0.3580371645977386,-26.38714914046787,330.82621305054795,4.488854732456534,1485.0308120726258
0.945,0.7,116.77831004148346,0.34812213390473923,-26.387149140467912,335.45212633172844,4.4255750941426895,1484.5685755709044
0.94,0.6,114.84892323900335,0.33410955738503073,-26.6257465529675,343.74629728610387,4.313453634456052,1482.7337153595554
0.945,0.8,124.00899225936892,0.3551290944206116,-29.7309023154544,349.19412182121533,4.1710470453803845,1456.5051100865783
0.95,0.8,124.99983143196687,0.36354786563520697,-29.730902315454355,343.83321495660994,4.204373957630979,1445.6034147321054
0.97,0.6,115.0359593531221,0.3726878110352961,-24.759562228517762,308.6657409952895,4.646122507797213,1434.0988466241197
0.955,0.7,116.89793870340384,0.3632147158469361,-26.387149140467848,321.84251794650936,4.430108689692699,1425.7973354674095
0.94,0.7,115.37231777023243,0.33970604152895484,-28.191573503136734,339.62397975309096,4.092439812108946,1389.890695888432
0.94,0.8,123.08725304531825,0.3471701157279476,-31.432749774881184,354.5444940939932,3.9158919893060333,1388.3579442752282
0.955,0.8,122.32863142274427,0.36945328923340126,-29.730902315454355,331.1071656083252,4.1145280464345975,1362.349719270919
0.96,0.7,114.18009546245153,0.37072396067333213,-26.3871491404679,307.9922194806898,4.327109944868674,1332.7161958570682
0.965,0.6,107.67171597706637,0.3652021662340597,-24.759562228517773,294.82770348097847,4.348692233865563,1282.1149444561502
0.965,0.5,100.49872604591887,0.3489167611765305,-22.647576269482972,288.0306629783047,4.4375046958706275,1278.137419520957
0.955,1.4,105.90530294733726,0.3724789331581863,-23.95648476982054,284.3256182286176,4.420736346125066,1256.9285946377295
0.95,1.4,108.0163297497568,0.3635307775879403,-26.130031957250864,297.13118230718993,4.13380013948981,1228.2809228682338
0.97,0.7,110.3073697526701,0.3834831103953971,-26.38714914046789,287.64596604772424,4.180344347374017,1202.4591882125426
0.96,0.8,115.92152803195303,0.37753746766860996,-29.730902315454387,307.046420446156,3.899024886698309,1197.1816346911946
0.935,0.5,94.33349681456555,0.3131371546986225,-24.097030794805498,301.25296662849354,3.914735289083859,1179.3256194017658
0.94,1.4,110.02340603386295,0.3511172335369147,-30.658255126406964,313.352337980003,3.5887041053127704,1124.5288217181917
0.945,1.5,94.22464126837524,0.3411094011511086,-23.16327888185351,276.2299747541538,4.0678455649123295,1123.6608776995292
0.94,0.4,77.88864945196103,0.3030417938215552,-17.97931358022904,257.02279698695753,4.332125868120534,1113.4551075238912
0.965,0.7,104.76250714932536,0.37524309637848047,-26.38714914046787,279.18570164355276,3.9702093845621027,1108.4256927007884
0.93,0.5,86.86851368232769,0.310735926728044,-22.319561152059308,279.5573546870716,3.892035022127341,1088.0470151353577
0.945,0.9,113.84981434806578,0.36188206976586895,-32.98412302075946,314.60473966484307,3.4516550364674323,1085.907034160681
0.94,0.9,114.48855294040055,0.35383023466992036,-34.58733348514536,323.56916318133227,3.3101295012976744,1071.0558327567292
0.935,0.6,99.5731638860063,0.32980076050986656,-28.08007818964785,301.91914576566717,3.546042970874471,1070.6182646147688
0.95,0.9,114.19073266052915,0.37063262582667167,-32.98412302075947,308.09681799014385,3.4619908672017763,1066.6283700958058
0.975,0.6,114.26466796098906,0.3831582484069565,-32.52052682494103,298.2179515541248,3.513616755844061,1047.8235914740653
0.945,2.4,80.13855634835858,0.31904948524009014,-19.239073208336798,251.17908053684198,4.165406279218919,1046.2629192765962
0.955,0.9,113.54017187356015,0.3757481249171657,-32.98412302075946,302.1709606630513,3.4422674146012775,1040.1532515291858
0.945,2.3,79.87268973852588,0.31926663620857165,-19.252566506389623,250.1754980947848,4.148677513308026,1037.8974633264686
0.945,2.5,79.90278043957144,0.3200087437778321,-19.239073208336798,249.68936628508,4.153151223778672,1036.9976971514013
0.945,1.6,90.81367299966918,0.33923889739255614,-23.51013452424714,267.6982907846873,3.862745783356052,1034.050443940173
0.945,2.2,85.04639749915877,0.32711856224199365,-21.61453463679971,259.986461533307,3.934685568217762,1022.9649781271055
0.93,0.6,93.37237052280972,0.3279707591132446,-26.07086503879179,284.6972418372496,3.5814834062420853,1019.6384474429993
0.975,0.5,106.91365348755059,0.3635279374778198,-30.954247713011284,294.1002395285611,3.453925111628883,1015.8002026437665
