,Ratio,Stop,CAGR,StDev,DrawDown,Sharpe,MaR,SM
0,0.91,4.7,29.61177229,0.194854914,-18.72126802,151.9683116,1.581718303,240.3710599
1,0.91,4.9,29.5898543,0.194850565,-18.72126802,151.859217,1.58054755,240.0207134
2,0.91,4.5,28.79709069,0.195855011,-18.72126802,147.0326979,1.538201935,226.1659804
3,0.905,4.7,26.25846204,0.188582471,-16.55133768,139.2412662,1.58648579,220.9042902
4,0.905,4.9,26.23710504,0.18860323,-16.55133768,139.1127027,1.585195441,220.5208221
5,0.935,4.7,29.22737225,0.217552861,-18.23549069,134.3460719,1.602774104,215.326405
6,0.935,4.9,29.20551927,0.217548971,-18.23549069,134.2480229,1.601575728,215.008375
7,0.905,4.5,25.46486388,0.189586894,-16.55133768,134.3176388,1.538538115,206.6528067
8,0.91,4.1,27.53929711,0.196405819,-18.72126802,140.2162993,1.471016658,206.260512
9,0.91,0.1,13.70958375,0.103452189,-8.891471179,132.5209634,1.541880244,204.3314554
10,0.91,4.3,27.40148501,0.19661112,-18.72126802,139.3689481,1.463655399,203.9881133
11,0.935,4.5,28.41510683,0.21844926,-18.23549069,130.0764617,1.558230997,202.6891746
12,0.93,4.7,29.56456936,0.212645118,-20.48964026,139.0324386,1.442903291,200.6103632
13,0.93,4.9,29.54265936,0.212641144,-20.48964026,138.9319997,1.44183397,200.3168767
14,0.91,3.9,26.87459091,0.197094901,-18.72126802,136.3535576,1.435511253,195.7370664
15,0.93,4.5,28.75018447,0.213562293,-20.48964026,134.6220067,1.403157113,188.8958263
16,0.91,3.1,26.41119789,0.198152611,-18.72126802,133.2871557,1.410759029,188.0360583
17,0.905,4.1,24.23962372,0.190099787,-16.55133768,127.5099995,1.46451146,186.7398555
18,0.935,4.1,27.16104358,0.21894354,-18.23549069,124.0550126,1.489460528,184.7750445
19,0.905,4.3,24.10537114,0.190336555,-16.55133768,126.6460408,1.456400177,184.4473163
20,0.91,3.3,26.1070102,0.198631902,-18.72126802,131.4341246,1.394510787,183.2863046
21,0.935,4.3,27.02364021,0.219127759,-18.23549069,123.3236734,1.481925585,182.7565069
22,0.91,3.5,26.1019458,0.199245811,-18.72126802,131.0037367,1.394240271,182.6506854
23,0.91,3.7,26.04858993,0.199460087,-18.72126802,130.5955009,1.391390258,181.7093077
24,0.905,3.9,23.59474932,0.190783262,-16.55133768,123.6730574,1.425549389,176.3020514
25,0.935,3.9,26.49830876,0.21956206,-18.23549069,120.6871023,1.453117397,175.372528
26,0.93,4.1,27.49284896,0.214068134,-20.48964026,128.4303665,1.341792663,172.3269234
27,0.94,4.7,28.77558661,0.221171647,-21.79025529,130.1052238,1.320571339,171.8132296
28,0.94,4.9,28.75381003,0.221167813,-21.79025529,130.0090174,1.319571967,171.5562548
29,0.91,2.7,26.41943964,0.198186471,-20.65794734,133.3059696,1.278899554,170.484945
30,0.93,4.3,27.35508705,0.214256575,-20.48964026,127.6744343,1.335069172,170.4542012
31,0.905,3.1,23.14335891,0.191772946,-16.55133768,120.681042,1.398277248,168.7455553
32,0.935,2.7,25.8204657,0.220865675,-18.23549069,116.9057426,1.415945759,165.5321905
33,0.935,3.5,25.72795375,0.221495083,-18.23549069,116.1558686,1.410872578,163.8811297
34,0.93,3.9,26.82838484,0.214700845,-20.48964026,124.9570529,1.30936339,163.6141904
35,0.935,3.7,25.67475612,0.221687866,-18.23549069,115.8148914,1.40795532,163.0621925
36,0.905,3.3,22.84702892,0.192292063,-16.64992541,118.8142066,1.372200077,163.0368635
37,0.935,3.1,25.56094466,0.22128507,-18.23549069,115.5113839,1.401714113,161.9139371
38,0.94,4.5,27.95996605,0.222056255,-21.79025529,125.9138862,1.283140821,161.5652472
39,0.91,2.9,25.89209227,0.198873265,-20.89490634,130.1939314,1.239158092,161.3308637
40,0.905,3.5,22.8420896,0.192951293,-16.8526625,118.3826715,1.355399457,160.4558087
41,0.915,4.7,25.97856686,0.201144219,-21.08398844,129.1539322,1.232146704,159.1365919
42,0.915,4.9,25.95726327,0.201139916,-21.08398844,129.0507813,1.231136288,158.8790999
43,0.905,2.7,23.15125998,0.191846345,-17.68870252,120.6760542,1.308816176,157.9427718
44,0.905,3.7,22.79010718,0.193197359,-17.05539958,117.9628296,1.336240002,157.6266517
45,0.925,4.7,25.66013699,0.20925852,-20.06892685,122.6240964,1.278600355,156.7872131
46,0.935,2.9,25.17064278,0.221698952,-18.23549069,113.5352357,1.380310693,156.7138999
47,0.925,4.9,25.63888724,0.209254381,-20.06892685,122.5249723,1.277541517,156.530739
48,0.91,2.5,25.28407883,0.200226354,-20.42098834,126.277477,1.238141779,156.3494199
49,0.935,3.3,25.13293597,0.221960785,-18.23549069,113.2314247,1.378242922,156.0604096
50,0.935,0.1,13.60394517,0.115097323,-10.3191345,118.1951487,1.318322305,155.8193009
51,0.945,4.7,29.30490197,0.22531937,-24.56011919,130.0593995,1.193190544,155.1856456
52,0.945,4.9,29.28303588,0.225315622,-24.56011919,129.9645166,1.192300235,154.9567237
53,0.93,2.7,26.18650192,0.215960102,-20.69669991,121.2562028,1.265250114,153.4194244
54,0.93,3.1,26.06458398,0.216116219,-20.48964026,120.6044792,1.272085974,153.4192663
55,0.93,3.5,26.05601972,0.2166774,-20.48964026,120.2525954,1.271667993,152.9213767
56,0.93,3.7,26.00268327,0.216874476,-20.48964026,119.8973883,1.2690649,152.1575671
57,0.91,1.1,22.10280651,0.181957137,-17.70816214,121.4726002,1.248170552,151.6185224
58,0.98,4.7,33.68355028,0.256154379,-29.23936272,131.4970701,1.151993311,151.4837452
59,0.98,4.9,33.66094374,0.256151189,-29.23936272,131.4104529,1.151220157,151.2823623
60,0.915,4.5,25.18672195,0.202109946,-21.08398844,124.6189141,1.19459001,148.8685098
61,0.93,3.3,25.70427763,0.216658494,-20.48964026,118.6396027,1.254501168,148.8335202
62,0.915,0.1,12.81876617,0.104130049,-10.61978459,123.1034302,1.207064612,148.5937942
63,0.905,2.9,22.63752905,0.192584925,-17.93452931,117.545696,1.262231568,148.3698881
64,0.92,4.7,24.74431908,0.20716873,-20.06892675,119.440415,1.232966734,147.2660585
65,0.94,4.1,26.71034757,0.22254205,-21.79025529,120.023823,1.225793237,147.1243906
66,0.92,4.9,24.72322421,0.207164524,-20.06892675,119.3410136,1.231915613,147.0180579
67,0.925,4.5,24.87029359,0.21018687,-20.06892685,118.3246775,1.239243821,146.6331254
68,1.005,4.7,34.40024651,0.26992247,-29.93889411,127.4449159,1.14901527,146.4361544
69,1.005,4.9,34.37751877,0.269919466,-29.93889411,127.3621326,1.148256133,146.2443498
70,0.945,4.5,28.48592891,0.226188299,-24.56011919,125.9390032,1.159844897,146.0697102
71,0.94,4.3,26.57343119,0.222723242,-21.79025529,119.3114422,1.219509861,145.5014803
72,0.93,1.1,22.5258307,0.197599282,-17.72306324,113.997533,1.270989693,144.8896895
73,0.93,2.9,25.60359478,0.216680856,-20.93354317,118.162699,1.223089401,144.5235447
74,0.895,4.7,21.7281718,0.175541077,-18.6995897,123.7782758,1.161959815,143.8253825
75,0.905,2.5,22.04526672,0.193916794,-17.44287572,113.6841544,1.263855059,143.6802937
76,0.935,2.1,24.59870176,0.220709542,-19.09053717,111.4528241,1.288528528,143.6101434
77,0.895,4.9,21.70758111,0.175563232,-18.6995897,123.6453716,1.160858685,143.5348035
78,0.98,4.5,32.83684428,0.256922912,-29.23936272,127.8081587,1.123035567,143.5331079
79,0.91,0.9,20.73152532,0.175607547,-17.17484306,118.056004,1.20708674,142.503837
80,0.935,2.3,24.64957787,0.221657008,-19.38214005,111.205949,1.271767607,141.4281236
81,0.91,1.7,24.50995767,0.194889053,-21.85864624,125.7636447,1.121293487,141.0179557
82,0.91,2.1,24.78836458,0.198673771,-21.95552488,124.7691852,1.12902628,140.867689
83,0.93,2.5,25.06217835,0.217798999,-20.48964026,115.0702182,1.223163415,140.749681
84,0.935,2.5,24.76747826,0.222544593,-19.67374293,111.2922043,1.258910333,140.106906
85,0.94,3.9,26.04996167,0.223150348,-21.79025529,116.7372669,1.195486759,139.5578568
